record_id,product_id,production_date,quantity_produced,quantity_defective,production_line_id,shift_id,supervisor_id
R025001,P17675,2022-12-04,440,28,L25001,SH25001,SUP25001
R025002,P12323,2022-06-13,792,13,L25002,SH25002,SUP25002
R025003,P04728,2022-05-29,577,33,L25003,SH25003,SUP25003
R025004,P13960,2023-04-22,370,35,L25004,SH25004,SUP25004
R025005,P17379,2024-01-12,874,35,L25005,SH25005,SUP25005
R025006,P07459,2023-08-11,24,40,L25006,SH25006,SUP25006
R025007,P15691,2023-11-09,786,29,L25007,SH25007,SUP25007
R025008,P22112,2022-02-22,20,17,L25008,SH25008,SUP25008
R025009,P26280,2023-03-25,252,29,L25009,SH25009,SUP25009
R025010,P13966,2023-12-20,334,50,L25010,SH25010,SUP25010
R025011,P00420,2023-12-17,362,49,L25011,SH25011,SUP25011
R025012,P15701,2023-11-13,227,8,L25012,SH25012,SUP25012
R025013,P04196,2023-01-26,211,29,L25013,SH25013,SUP25013
R025014,P25344,2023-10-27,886,47,L25014,SH25014,SUP25014
R025015,P18180,2023-05-21,761,31,L25015,SH25015,SUP25015
R025016,P10467,2023-04-29,295,43,L25016,SH25016,SUP25016
R025017,P10757,2023-03-30,576,38,L25017,SH25017,SUP25017
R025018,P09927,2022-03-30,961,45,L25018,SH25018,SUP25018
R025019,P25870,2023-09-08,399,25,L25019,SH25019,SUP25019
R025020,P24900,2023-12-13,78,45,L25020,SH25020,SUP25020
R025021,P10351,2023-03-28,508,8,L25021,SH25021,SUP25021
R025022,P02002,2023-08-02,488,32,L25022,SH25022,SUP25022
R025023,P11469,2022-07-05,518,20,L25023,SH25023,SUP25023
R025024,P03486,2023-04-29,354,33,L25024,SH25024,SUP25024
R025025,P22648,2023-01-18,727,24,L25025,SH25025,SUP25025
R025026,P12458,2023-11-20,697,40,L25026,SH25026,SUP25026
R025027,P10622,2023-02-03,445,16,L25027,SH25027,SUP25027
R025028,P34026,2022-10-07,596,34,L25028,SH25028,SUP25028
R025029,P21647,2022-02-17,632,2,L25029,SH25029,SUP25029
R025030,P33059,2022-04-03,840,45,L25030,SH25030,SUP25030
R025031,P28827,2023-01-02,253,28,L25031,SH25031,SUP25031
R025032,P28477,2022-08-17,770,14,L25032,SH25032,SUP25032
R025033,P01068,2023-02-11,430,44,L25033,SH25033,SUP25033
R025034,P27637,2022-08-06,776,5,L25034,SH25034,SUP25034
R025035,P26375,2023-09-11,925,3,L25035,SH25035,SUP25035
R025036,P25425,2023-01-01,893,30,L25036,SH25036,SUP25036
R025037,P05251,2022-08-22,273,40,L25037,SH25037,SUP25037
R025038,P27647,2023-08-09,677,25,L25038,SH25038,SUP25038
R025039,P27486,2022-06-18,145,1,L25039,SH25039,SUP25039
R025040,P15357,2023-12-29,969,17,L25040,SH25040,SUP25040
R025041,P21308,2023-02-05,166,33,L25041,SH25041,SUP25041
R025042,P10369,2023-11-01,695,35,L25042,SH25042,SUP25042
R025043,P30401,2023-01-25,803,15,L25043,SH25043,SUP25043
R025044,P06099,2022-08-20,448,41,L25044,SH25044,SUP25044
R025045,P04234,2022-08-19,368,47,L25045,SH25045,SUP25045
R025046,P33515,2023-03-22,778,36,L25046,SH25046,SUP25046
R025047,P17109,2023-11-28,72,5,L25047,SH25047,SUP25047
R025048,P22293,2023-01-15,664,45,L25048,SH25048,SUP25048
R025049,P00393,2022-03-15,957,33,L25049,SH25049,SUP25049
R025050,P22708,2022-09-30,746,1,L25050,SH25050,SUP25050
R025051,P19525,2023-11-01,834,1,L25051,SH25051,SUP25051
R025052,P27790,2023-05-11,42,20,L25052,SH25052,SUP25052
R025053,P32128,2022-02-07,160,41,L25053,SH25053,SUP25053
R025054,P04743,2022-02-11,902,46,L25054,SH25054,SUP25054
R025055,P29393,2022-11-29,469,33,L25055,SH25055,SUP25055
R025056,P01299,2023-10-22,870,37,L25056,SH25056,SUP25056
R025057,P34876,2022-09-01,94,42,L25057,SH25057,SUP25057
R025058,P11335,2022-06-29,642,16,L25058,SH25058,SUP25058
R025059,P07069,2022-11-17,837,13,L25059,SH25059,SUP25059
R025060,P08636,2023-03-04,988,29,L25060,SH25060,SUP25060
R025061,P29488,2023-05-19,970,20,L25061,SH25061,SUP25061
R025062,P31815,2023-09-21,166,30,L25062,SH25062,SUP25062
R025063,P18798,2023-03-09,44,23,L25063,SH25063,SUP25063
R025064,P13154,2023-01-06,595,27,L25064,SH25064,SUP25064
R025065,P08558,2022-06-08,170,0,L25065,SH25065,SUP25065
R025066,P26739,2022-03-04,921,30,L25066,SH25066,SUP25066
R025067,P19063,2023-09-03,953,14,L25067,SH25067,SUP25067
R025068,P14772,2023-07-19,398,29,L25068,SH25068,SUP25068
R025069,P11240,2022-03-01,192,4,L25069,SH25069,SUP25069
R025070,P30307,2022-12-24,791,1,L25070,SH25070,SUP25070
R025071,P21689,2022-06-14,111,22,L25071,SH25071,SUP25071
R025072,P22701,2023-09-08,199,38,L25072,SH25072,SUP25072
R025073,P22270,2022-04-25,197,2,L25073,SH25073,SUP25073
R025074,P00919,2023-10-11,12,15,L25074,SH25074,SUP25074
R025075,P16415,2024-01-22,642,42,L25075,SH25075,SUP25075
R025076,P27908,2022-11-18,420,44,L25076,SH25076,SUP25076
R025077,P04701,2023-11-11,726,9,L25077,SH25077,SUP25077
R025078,P28116,2023-12-06,181,50,L25078,SH25078,SUP25078
R025079,P01722,2022-11-07,331,45,L25079,SH25079,SUP25079
R025080,P05319,2022-08-25,664,28,L25080,SH25080,SUP25080
R025081,P11823,2022-09-08,98,39,L25081,SH25081,SUP25081
R025082,P09639,2023-09-04,705,40,L25082,SH25082,SUP25082
R025083,P18361,2023-03-12,202,11,L25083,SH25083,SUP25083
R025084,P30117,2023-09-05,42,31,L25084,SH25084,SUP25084
R025085,P12015,2022-03-20,603,37,L25085,SH25085,SUP25085
R025086,P21926,2022-10-14,986,36,L25086,SH25086,SUP25086
R025087,P14643,2023-01-24,718,2,L25087,SH25087,SUP25087
R025088,P30706,2023-03-29,867,40,L25088,SH25088,SUP25088
R025089,P17147,2022-04-16,991,40,L25089,SH25089,SUP25089
R025090,P17262,2023-10-27,369,32,L25090,SH25090,SUP25090
R025091,P02883,2022-01-26,598,50,L25091,SH25091,SUP25091
R025092,P09743,2022-02-19,355,1,L25092,SH25092,SUP25092
R025093,P08119,2022-10-23,89,10,L25093,SH25093,SUP25093
R025094,P05567,2022-04-14,388,14,L25094,SH25094,SUP25094
R025095,P17320,2022-04-03,62,21,L25095,SH25095,SUP25095
R025096,P34615,2023-03-24,41,17,L25096,SH25096,SUP25096
R025097,P05831,2022-07-01,620,26,L25097,SH25097,SUP25097
R025098,P18122,2023-11-19,523,37,L25098,SH25098,SUP25098
R025099,P01522,2022-05-07,934,47,L25099,SH25099,SUP25099
R025100,P31178,2023-01-29,433,29,L25100,SH25100,SUP25100
R025101,P02595,2023-10-14,704,27,L25101,SH25101,SUP25101
R025102,P28538,2023-07-10,547,18,L25102,SH25102,SUP25102
R025103,P22716,2023-09-19,670,37,L25103,SH25103,SUP25103
R025104,P24805,2022-08-16,836,21,L25104,SH25104,SUP25104
R025105,P04722,2022-09-15,36,17,L25105,SH25105,SUP25105
R025106,P04433,2023-11-10,664,27,L25106,SH25106,SUP25106
R025107,P31292,2023-01-11,558,25,L25107,SH25107,SUP25107
R025108,P19648,2023-12-31,760,3,L25108,SH25108,SUP25108
R025109,P19556,2022-07-12,448,50,L25109,SH25109,SUP25109
R025110,P24831,2023-02-09,566,30,L25110,SH25110,SUP25110
R025111,P13441,2022-07-30,71,42,L25111,SH25111,SUP25111
R025112,P30790,2022-06-29,169,33,L25112,SH25112,SUP25112
R025113,P04055,2022-09-02,24,15,L25113,SH25113,SUP25113
R025114,P09484,2024-01-25,606,19,L25114,SH25114,SUP25114
R025115,P33809,2023-11-01,944,36,L25115,SH25115,SUP25115
R025116,P01555,2023-02-02,193,3,L25116,SH25116,SUP25116
R025117,P24767,2022-01-25,391,11,L25117,SH25117,SUP25117
R025118,P14345,2023-05-24,754,6,L25118,SH25118,SUP25118
R025119,P01457,2023-04-02,262,18,L25119,SH25119,SUP25119
R025120,P22526,2022-07-08,519,15,L25120,SH25120,SUP25120
R025121,P30969,2023-11-12,510,36,L25121,SH25121,SUP25121
R025122,P22193,2022-06-28,588,21,L25122,SH25122,SUP25122
R025123,P28624,2022-10-08,183,4,L25123,SH25123,SUP25123
R025124,P25316,2024-01-10,861,7,L25124,SH25124,SUP25124
R025125,P32109,2023-01-07,299,36,L25125,SH25125,SUP25125
R025126,P15622,2022-07-14,334,7,L25126,SH25126,SUP25126
R025127,P07850,2023-12-06,743,47,L25127,SH25127,SUP25127
R025128,P02295,2023-09-28,533,6,L25128,SH25128,SUP25128
R025129,P25472,2022-02-03,595,4,L25129,SH25129,SUP25129
R025130,P24600,2023-03-03,856,26,L25130,SH25130,SUP25130
R025131,P12916,2022-06-28,218,21,L25131,SH25131,SUP25131
R025132,P33864,2022-02-21,553,35,L25132,SH25132,SUP25132
R025133,P11683,2022-10-18,60,27,L25133,SH25133,SUP25133
R025134,P34720,2022-03-23,501,38,L25134,SH25134,SUP25134
R025135,P18766,2023-10-12,367,40,L25135,SH25135,SUP25135
R025136,P14502,2023-09-27,690,4,L25136,SH25136,SUP25136
R025137,P23331,2022-04-13,440,46,L25137,SH25137,SUP25137
R025138,P26878,2022-12-04,565,0,L25138,SH25138,SUP25138
R025139,P10021,2023-12-23,315,9,L25139,SH25139,SUP25139
R025140,P15171,2023-08-18,962,19,L25140,SH25140,SUP25140
R025141,P16468,2023-11-21,421,7,L25141,SH25141,SUP25141
R025142,P20106,2023-02-09,976,29,L25142,SH25142,SUP25142
R025143,P06741,2022-03-29,837,29,L25143,SH25143,SUP25143
R025144,P05891,2024-01-02,448,3,L25144,SH25144,SUP25144
R025145,P23276,2022-05-05,998,48,L25145,SH25145,SUP25145
R025146,P11871,2022-04-23,668,29,L25146,SH25146,SUP25146
R025147,P34185,2022-07-02,137,31,L25147,SH25147,SUP25147
R025148,P22990,2023-01-15,547,39,L25148,SH25148,SUP25148
R025149,P28457,2023-01-28,245,42,L25149,SH25149,SUP25149
R025150,P04393,2023-08-30,458,49,L25150,SH25150,SUP25150
R025151,P26441,2023-04-09,436,19,L25151,SH25151,SUP25151
R025152,P20594,2022-06-06,530,41,L25152,SH25152,SUP25152
R025153,P11130,2023-08-03,442,49,L25153,SH25153,SUP25153
R025154,P28731,2023-10-30,863,16,L25154,SH25154,SUP25154
R025155,P21136,2023-09-25,33,22,L25155,SH25155,SUP25155
R025156,P20278,2022-07-13,880,9,L25156,SH25156,SUP25156
R025157,P14787,2022-12-27,430,44,L25157,SH25157,SUP25157
R025158,P27302,2022-10-15,460,45,L25158,SH25158,SUP25158
R025159,P19801,2023-02-19,194,5,L25159,SH25159,SUP25159
R025160,P05603,2023-06-03,366,38,L25160,SH25160,SUP25160
R025161,P06064,2023-05-12,173,21,L25161,SH25161,SUP25161
R025162,P29533,2023-07-22,636,8,L25162,SH25162,SUP25162
R025163,P23028,2022-11-05,107,44,L25163,SH25163,SUP25163
R025164,P21777,2022-12-02,887,18,L25164,SH25164,SUP25164
R025165,P04524,2022-04-13,631,9,L25165,SH25165,SUP25165
R025166,P25104,2022-05-17,1000,2,L25166,SH25166,SUP25166
R025167,P25524,2023-09-27,983,45,L25167,SH25167,SUP25167
R025168,P10659,2023-10-23,173,0,L25168,SH25168,SUP25168
R025169,P06335,2024-01-03,919,25,L25169,SH25169,SUP25169
R025170,P18990,2022-03-01,484,4,L25170,SH25170,SUP25170
R025171,P29553,2023-04-26,173,10,L25171,SH25171,SUP25171
R025172,P28931,2022-11-05,355,40,L25172,SH25172,SUP25172
R025173,P16297,2023-07-09,887,35,L25173,SH25173,SUP25173
R025174,P06363,2024-01-17,292,25,L25174,SH25174,SUP25174
R025175,P34378,2023-02-23,548,9,L25175,SH25175,SUP25175
R025176,P20321,2023-11-24,144,9,L25176,SH25176,SUP25176
R025177,P24325,2022-05-07,788,13,L25177,SH25177,SUP25177
R025178,P29285,2023-05-26,262,24,L25178,SH25178,SUP25178
R025179,P03742,2023-02-02,535,11,L25179,SH25179,SUP25179
R025180,P07298,2023-10-23,622,26,L25180,SH25180,SUP25180
R025181,P09973,2022-07-04,623,31,L25181,SH25181,SUP25181
R025182,P05435,2023-12-13,764,37,L25182,SH25182,SUP25182
R025183,P06758,2023-01-13,889,35,L25183,SH25183,SUP25183
R025184,P07134,2023-08-23,615,29,L25184,SH25184,SUP25184
R025185,P09256,2023-07-15,942,13,L25185,SH25185,SUP25185
R025186,P30510,2023-05-06,787,30,L25186,SH25186,SUP25186
R025187,P09594,2023-05-15,315,3,L25187,SH25187,SUP25187
R025188,P03593,2023-04-28,536,33,L25188,SH25188,SUP25188
R025189,P02352,2023-11-02,712,0,L25189,SH25189,SUP25189
R025190,P22275,2023-05-17,577,29,L25190,SH25190,SUP25190
R025191,P24788,2023-01-12,722,6,L25191,SH25191,SUP25191
R025192,P26746,2022-07-31,283,31,L25192,SH25192,SUP25192
R025193,P04766,2023-02-08,875,27,L25193,SH25193,SUP25193
R025194,P04032,2022-09-25,862,2,L25194,SH25194,SUP25194
R025195,P15293,2023-08-24,94,32,L25195,SH25195,SUP25195
R025196,P31013,2022-12-21,660,29,L25196,SH25196,SUP25196
R025197,P08422,2023-01-01,290,40,L25197,SH25197,SUP25197
R025198,P33125,2022-05-03,455,34,L25198,SH25198,SUP25198
R025199,P14070,2022-10-21,786,7,L25199,SH25199,SUP25199
R025200,P20563,2022-09-20,721,12,L25200,SH25200,SUP25200
R025201,P32490,2022-09-28,619,31,L25201,SH25201,SUP25201
R025202,P10429,2023-12-10,56,32,L25202,SH25202,SUP25202
R025203,P19724,2023-02-03,276,38,L25203,SH25203,SUP25203
R025204,P11898,2023-05-15,23,23,L25204,SH25204,SUP25204
R025205,P33196,2023-05-01,952,50,L25205,SH25205,SUP25205
R025206,P16963,2022-06-13,665,44,L25206,SH25206,SUP25206
R025207,P24342,2023-10-15,62,42,L25207,SH25207,SUP25207
R025208,P27948,2023-12-20,541,34,L25208,SH25208,SUP25208
R025209,P07567,2023-06-07,49,2,L25209,SH25209,SUP25209
R025210,P22233,2022-02-08,395,5,L25210,SH25210,SUP25210
R025211,P08743,2023-12-16,770,25,L25211,SH25211,SUP25211
R025212,P02994,2022-11-06,698,48,L25212,SH25212,SUP25212
R025213,P11382,2022-02-19,431,33,L25213,SH25213,SUP25213
R025214,P00265,2023-05-14,990,39,L25214,SH25214,SUP25214
R025215,P14557,2022-04-24,433,48,L25215,SH25215,SUP25215
R025216,P18041,2022-07-31,467,13,L25216,SH25216,SUP25216
R025217,P05893,2023-05-01,33,43,L25217,SH25217,SUP25217
R025218,P05566,2024-01-05,746,13,L25218,SH25218,SUP25218
R025219,P08156,2023-07-03,995,25,L25219,SH25219,SUP25219
R025220,P16392,2022-04-09,12,41,L25220,SH25220,SUP25220
R025221,P09512,2022-10-12,417,7,L25221,SH25221,SUP25221
R025222,P20449,2023-04-20,89,15,L25222,SH25222,SUP25222
R025223,P25031,2023-05-22,203,5,L25223,SH25223,SUP25223
R025224,P06765,2022-06-18,693,31,L25224,SH25224,SUP25224
R025225,P23716,2023-04-26,410,19,L25225,SH25225,SUP25225
R025226,P03704,2023-12-06,895,10,L25226,SH25226,SUP25226
R025227,P10774,2022-10-12,385,1,L25227,SH25227,SUP25227
R025228,P33479,2023-10-19,270,1,L25228,SH25228,SUP25228
R025229,P14511,2022-02-26,816,33,L25229,SH25229,SUP25229
R025230,P13191,2022-11-29,419,35,L25230,SH25230,SUP25230
R025231,P32326,2022-08-05,651,21,L25231,SH25231,SUP25231
R025232,P18502,2022-07-29,523,18,L25232,SH25232,SUP25232
R025233,P34003,2022-02-01,324,0,L25233,SH25233,SUP25233
R025234,P02510,2023-05-11,600,2,L25234,SH25234,SUP25234
R025235,P03368,2023-07-26,724,27,L25235,SH25235,SUP25235
R025236,P16927,2023-07-13,546,19,L25236,SH25236,SUP25236
R025237,P33461,2023-07-14,259,3,L25237,SH25237,SUP25237
R025238,P11269,2023-05-21,635,3,L25238,SH25238,SUP25238
R025239,P27263,2022-04-08,525,37,L25239,SH25239,SUP25239
