sales_id,product_id,sale_date,quantity_sold,sale_price_per_unit,customer_id,sales_region_id,salesperson_id
S030001,P10194,2024-01-01,383,967.56,C30001,R30001,SP30001
S030002,P23342,2023-07-04,219,856.49,C30002,R30002,SP30002
S030003,P30836,2022-04-21,262,950.14,C30003,R30003,SP30003
S030004,P33003,2023-01-15,386,734.53,C30004,R30004,SP30004
S030005,P20218,2022-07-16,245,920.92,C30005,R30005,SP30005
S030006,P08592,2022-04-23,153,926.43,C30006,R30006,SP30006
S030007,P20910,2022-09-05,15,673.11,C30007,R30007,SP30007
S030008,P20338,2023-03-17,284,649.82,C30008,R30008,SP30008
S030009,P26158,2022-11-22,76,884.98,C30009,R30009,SP30009
S030010,P16433,2023-05-27,163,678.72,C30010,R30010,SP30010
S030011,P21613,2023-06-11,294,931.0,C30011,R30011,SP30011
S030012,P30138,2023-07-15,422,691.43,C30012,R30012,SP30012
S030013,P31145,2022-06-07,420,930.59,C30013,R30013,SP30013
S030014,P03150,2023-02-22,205,939.14,C30014,R30014,SP30014
S030015,P02133,2023-07-29,36,788.43,C30015,R30015,SP30015
S030016,P24477,2022-10-29,481,600.63,C30016,R30016,SP30016
S030017,P29441,2022-09-21,107,817.41,C30017,R30017,SP30017
S030018,P03902,2023-07-24,9,625.61,C30018,R30018,SP30018
S030019,P12533,2023-11-10,213,873.86,C30019,R30019,SP30019
S030020,P19928,2023-03-12,319,636.64,C30020,R30020,SP30020
S030021,P22758,2022-05-31,471,982.4,C30021,R30021,SP30021
S030022,P31393,2022-03-09,334,646.05,C30022,R30022,SP30022
S030023,P02104,2023-05-25,50,964.35,C30023,R30023,SP30023
S030024,P11458,2022-06-02,340,556.36,C30024,R30024,SP30024
S030025,P18215,2023-12-21,255,985.73,C30025,R30025,SP30025
S030026,P14051,2022-08-01,9,884.39,C30026,R30026,SP30026
S030027,P07901,2023-10-27,327,953.07,C30027,R30027,SP30027
S030028,P00902,2022-11-29,473,531.92,C30028,R30028,SP30028
S030029,P07828,2022-10-20,428,775.56,C30029,R30029,SP30029
S030030,P10471,2022-09-08,373,726.0,C30030,R30030,SP30030
S030031,P29447,2023-05-04,211,589.32,C30031,R30031,SP30031
S030032,P14445,2022-05-25,34,662.64,C30032,R30032,SP30032
