product_id,product_name,category,subcategory,launch_date,discontinued_date,unit_cost,unit_price,supplier_id,manufacturing_location_id
P00001,According,Five,Doctor,2024-01-11,2027-08-06,198.13,881.86,S0001,M001
P00002,Mission,Image,Ago,2023-09-09,2024-07-14,131.0,870.82,S0002,M002
P00003,Throw,Sound,Read,2023-05-15,2027-10-30,235.19,815.6,S0003,M003
P00004,Pattern,Pm,Foreign,2019-10-17,2024-05-28,39.14,872.42,S0004,M004
P00005,Able,Who,Wait,2014-06-24,2027-06-28,429.12,519.42,S0005,M005
P00006,Rule,Tree,Thing,2020-03-26,2026-02-01,485.78,598.92,S0006,M006
P00007,Bar,Our,Strategy,2019-04-08,2026-04-01,194.31,675.44,S0007,M007
P00008,Market,Land,Sit,2018-11-29,2026-08-16,391.57,813.86,S0008,M008
P00009,Together,Long,Arm,2014-07-03,2027-05-08,81.38,733.8,S0009,M009
P00010,Popular,Certainly,Entire,2017-08-29,2026-07-30,441.49,655.45,S0010,M010
P00011,Financial,Student,Down,2014-06-16,2024-08-27,405.8,827.63,S0011,M011
P00012,Home,Call,Computer,2016-06-25,2025-09-26,37.88,526.83,S0012,M012
P00013,Focus,Civil,President,2018-09-17,2028-01-01,50.71,782.65,S0013,M013
P00014,Heart,Low,Month,2022-03-05,2027-07-31,232.25,695.27,S0014,M014
P00015,Suggest,Dark,Hope,2018-05-30,2028-12-16,176.99,879.55,S0015,M015
P00016,Thank,Respond,Sense,2019-03-25,2026-12-16,398.92,515.89,S0016,M016
P00017,History,Pressure,Beyond,2015-06-13,2025-11-26,76.3,723.93,S0017,M017
P00018,Reduce,Everything,Couple,2020-06-07,2028-11-06,262.94,835.65,S0018,M018
P00019,Record,Sign,Democratic,2016-10-18,2028-03-06,15.84,598.89,S0019,M019
P00020,Particular,All,Chance,2018-07-02,2027-01-25,378.86,638.96,S0020,M020
P00021,Authority,Life,Table,2023-02-10,2028-02-03,281.17,715.69,S0021,M021
P00022,Life,Card,Born,2016-03-23,2025-04-06,457.24,576.73,S0022,M022
