record_id,product_id,production_date,quantity_produced,quantity_defective,production_line_id,shift_id,supervisor_id
R000001,P21307,2022-06-10,848,48,L001,SH01,SUP0001
R000002,P04495,2024-01-20,756,49,L002,SH02,SUP0002
R000003,P25026,2023-12-17,250,21,L003,SH03,SUP0003
R000004,P05333,2023-02-19,140,5,L004,SH04,SUP0004
R000005,P31456,2023-09-26,880,17,L005,SH05,SUP0005
R000006,P30535,2023-08-27,864,27,L006,SH06,SUP0006
R000007,P29461,2022-05-04,348,22,L007,SH07,SUP0007
R000008,P23154,2022-09-26,327,41,L008,SH08,SUP0008
R000009,P23961,2023-12-11,495,22,L009,SH09,SUP0009
R000010,P34893,2023-05-19,727,11,L010,SH10,SUP0010
R000011,P33696,2023-02-24,393,40,L011,SH11,SUP0011
R000012,P05812,2022-08-19,668,24,L012,SH12,SUP0012
R000013,P24189,2022-06-04,669,39,L013,SH13,SUP0013
R000014,P23317,2023-05-29,408,12,L014,SH14,SUP0014
R000015,P13725,2022-07-12,349,19,L015,SH15,SUP0015
R000016,P21198,2023-06-17,843,42,L016,SH16,SUP0016
R000017,P26436,2022-05-08,206,32,L017,SH17,SUP0017
R000018,P33335,2023-11-05,618,27,L018,SH18,SUP0018
R000019,P17856,2023-12-15,272,24,L019,SH19,SUP0019
R000020,P31038,2022-08-12,197,42,L020,SH20,SUP0020
R000021,P34871,2022-02-17,326,11,L021,SH21,SUP0021
R000022,P00830,2022-02-25,818,22,L022,SH22,SUP0022
R000023,P28629,2023-07-26,82,49,L023,SH23,SUP0023
R000024,P04090,2023-06-29,916,13,L024,SH24,SUP0024
R000025,P25386,2022-05-07,380,6,L025,SH25,SUP0025
R000026,P07373,2023-10-02,314,21,L026,SH26,SUP0026
R000027,P28787,2023-12-17,839,3,L027,SH27,SUP0027
R000028,P01965,2023-07-22,609,0,L028,SH28,SUP0028
R000029,P03957,2022-03-03,50,19,L029,SH29,SUP0029
R000030,P31818,2023-08-04,302,37,L030,SH30,SUP0030
R000031,P05300,2023-09-05,843,42,L031,SH31,SUP0031
R000032,P22455,2023-07-12,908,34,L032,SH32,SUP0032
