sales_id,product_id,sale_date,quantity_sold,sale_price_per_unit,customer_id,sales_region_id,salesperson_id
S000001,P10727,2022-08-28,247,536.54,C00001,R01,SP0001
S000002,P11680,2022-03-23,290,819.07,C00002,R02,SP0002
S000003,P02124,2022-02-07,300,688.46,C00003,R03,SP0003
S000004,P13928,2022-09-19,197,895.96,C00004,R04,SP0004
S000005,P27817,2022-04-16,23,889.7,C00005,R05,SP0005
S000006,P33233,2024-01-08,371,596.68,C00006,R06,SP0006
S000007,P31090,2023-08-31,452,580.26,C00007,R07,SP0007
S000008,P12137,2023-06-27,157,551.14,C00008,R08,SP0008
S000009,P11947,2022-10-29,149,509.43,C00009,R09,SP0009
S000010,P22312,2023-01-31,53,710.68,C00010,R10,SP0010
S000011,P09503,2024-01-02,188,686.01,C00011,R11,SP0011
S000012,P10089,2022-09-04,462,907.91,C00012,R12,SP0012
S000013,P20518,2023-03-22,31,985.45,C00013,R13,SP0013
S000014,P16883,2023-02-23,447,534.17,C00014,R14,SP0014
S000015,P11652,2023-10-04,108,590.63,C00015,R15,SP0015
S000016,P16693,2022-10-22,255,578.1,C00016,R16,SP0016
S000017,P26327,2023-05-25,462,884.34,C00017,R17,SP0017
S000018,P17201,2022-09-09,290,765.48,C00018,R18,SP0018
S000019,P22783,2022-03-01,219,656.2,C00019,R19,SP0019
S000020,P04035,2023-01-31,263,535.94,C00020,R20,SP0020
S000021,P05644,2022-12-11,490,567.85,C00021,R21,SP0021
S000022,P15598,2023-09-05,149,848.39,C00022,R22,SP0022
S000023,P29685,2023-06-03,377,983.61,C00023,R23,SP0023
S000024,P29799,2022-08-30,237,646.18,C00024,R24,SP0024
S000025,P32955,2022-10-13,442,907.58,C00025,R25,SP0025
S000026,P24081,2023-06-01,99,641.11,C00026,R26,SP0026
S000027,P26149,2023-02-16,213,767.14,C00027,R27,SP0027
S000028,P15945,2022-07-05,13,728.51,C00028,R28,SP0028
S000029,P08228,2022-07-06,33,871.47,C00029,R29,SP0029
S000030,P21223,2022-09-19,416,800.3,C00030,R30,SP0030
S000031,P30017,2023-01-30,390,803.6,C00031,R31,SP0031
S000032,P22418,2022-05-01,198,742.09,C00032,R32,SP0032
S000033,P29080,2022-10-05,246,719.5,C00033,R33,SP0033
S000034,P32893,2022-11-22,300,615.71,C00034,R34,SP0034
S000035,P02975,2022-04-04,206,900.74,C00035,R35,SP0035
S000036,P23081,2023-01-12,232,913.83,C00036,R36,SP0036
S000037,P09845,2023-12-06,386,812.7,C00037,R37,SP0037
S000038,P27659,2022-08-20,178,766.57,C00038,R38,SP0038
S000039,P09995,2023-05-05,476,562.83,C00039,R39,SP0039
S000040,P30744,2023-12-07,407,629.35,C00040,R40,SP0040
S000041,P18281,2023-08-15,280,800.93,C00041,R41,SP0041
S000042,P11444,2023-05-20,225,618.34,C00042,R42,SP0042
S000043,P06772,2022-05-30,256,641.68,C00043,R43,SP0043
S000044,P24627,2022-02-08,65,837.64,C00044,R44,SP0044
S000045,P01774,2022-01-30,23,828.92,C00045,R45,SP0045
S000046,P21869,2024-01-06,2,878.33,C00046,R46,SP0046
S000047,P08171,2023-10-03,234,875.86,C00047,R47,SP0047
S000048,P01574,2023-11-02,159,560.12,C00048,R48,SP0048
S000049,P27932,2022-07-13,256,755.47,C00049,R49,SP0049
S000050,P24357,2022-03-24,300,692.93,C00050,R50,SP0050
S000051,P32074,2023-08-10,301,841.64,C00051,R51,SP0051
S000052,P13496,2022-07-08,313,872.56,C00052,R52,SP0052
S000053,P09591,2023-05-25,70,971.27,C00053,R53,SP0053
S000054,P28437,2022-07-21,301,719.27,C00054,R54,SP0054
S000055,P23093,2022-09-06,432,884.77,C00055,R55,SP0055
S000056,P14490,2022-08-17,379,717.25,C00056,R56,SP0056
S000057,P01144,2022-04-17,115,653.65,C00057,R57,SP0057
S000058,P25226,2022-03-12,11,981.0,C00058,R58,SP0058
S000059,P12811,2022-12-02,143,870.14,C00059,R59,SP0059
S000060,P19615,2023-11-16,97,922.04,C00060,R60,SP0060
S000061,P28614,2022-05-24,60,828.69,C00061,R61,SP0061
S000062,P10292,2022-08-29,393,936.09,C00062,R62,SP0062
S000063,P05425,2023-05-25,89,603.71,C00063,R63,SP0063
S000064,P10590,2023-02-03,461,583.6,C00064,R64,SP0064
S000065,P08764,2023-05-22,255,879.59,C00065,R65,SP0065
S000066,P28950,2023-06-09,419,832.61,C00066,R66,SP0066
S000067,P32208,2023-04-24,63,984.72,C00067,R67,SP0067
S000068,P30079,2022-05-10,225,837.44,C00068,R68,SP0068
S000069,P14549,2023-10-31,3,958.91,C00069,R69,SP0069
S000070,P30600,2022-02-23,223,514.17,C00070,R70,SP0070
S000071,P33707,2022-11-20,434,737.15,C00071,R71,SP0071
S000072,P22046,2022-04-06,492,863.22,C00072,R72,SP0072
S000073,P00065,2023-06-02,88,648.44,C00073,R73,SP0073
S000074,P07337,2022-03-06,89,664.32,C00074,R74,SP0074
S000075,P00125,2022-07-18,415,502.28,C00075,R75,SP0075
S000076,P24606,2023-05-01,145,908.21,C00076,R76,SP0076
S000077,P34894,2023-02-23,36,937.78,C00077,R77,SP0077
S000078,P25724,2023-06-20,137,841.66,C00078,R78,SP0078
S000079,P08871,2023-12-01,275,831.51,C00079,R79,SP0079
S000080,P23477,2022-06-07,453,704.15,C00080,R80,SP0080
S000081,P27188,2022-11-29,326,923.8,C00081,R81,SP0081
S000082,P32678,2022-02-14,296,545.52,C00082,R82,SP0082
S000083,P21774,2023-07-22,416,676.76,C00083,R83,SP0083
S000084,P02331,2022-06-03,360,981.01,C00084,R84,SP0084
S000085,P03104,2023-02-28,365,877.35,C00085,R85,SP0085
S000086,P04422,2023-04-05,39,594.64,C00086,R86,SP0086
S000087,P13448,2023-06-10,199,944.17,C00087,R87,SP0087
S000088,P22215,2022-04-23,339,587.21,C00088,R88,SP0088
S000089,P30466,2023-05-03,472,672.64,C00089,R89,SP0089
S000090,P01927,2024-01-03,170,657.95,C00090,R90,SP0090
S000091,P16627,2023-04-03,63,961.48,C00091,R91,SP0091
S000092,P13318,2023-03-09,45,505.58,C00092,R92,SP0092
S000093,P23133,2023-08-28,118,860.41,C00093,R93,SP0093
S000094,P16813,2022-05-08,102,623.84,C00094,R94,SP0094
S000095,P20784,2022-09-03,209,900.71,C00095,R95,SP0095
S000096,P24096,2023-12-20,213,921.05,C00096,R96,SP0096
S000097,P02517,2024-01-06,229,654.9,C00097,R97,SP0097
S000098,P18008,2022-09-29,32,929.57,C00098,R98,SP0098
S000099,P09470,2023-04-08,310,886.66,C00099,R99,SP0099
S000100,P13785,2023-03-29,360,968.67,C00100,R100,SP0100
S000101,P29138,2022-10-12,88,647.01,C00101,R101,SP0101
S000102,P17826,2022-07-15,464,513.57,C00102,R102,SP0102
S000103,P13429,2022-04-13,461,811.64,C00103,R103,SP0103
S000104,P24852,2023-11-15,9,613.16,C00104,R104,SP0104
S000105,P07659,2023-08-02,59,629.92,C00105,R105,SP0105
S000106,P08083,2023-08-23,461,612.11,C00106,R106,SP0106
S000107,P03208,2023-03-14,79,730.06,C00107,R107,SP0107
S000108,P13375,2022-08-14,131,502.3,C00108,R108,SP0108
S000109,P12750,2022-05-06,218,758.44,C00109,R109,SP0109
S000110,P19325,2022-04-17,348,966.31,C00110,R110,SP0110
S000111,P32425,2022-05-13,27,942.38,C00111,R111,SP0111
S000112,P32161,2023-01-08,228,999.06,C00112,R112,SP0112
